2000
Abel,Garifullin,0,189,16/2/1992,Russia,Rostovskaya Oblast,Rostov-na-Donu
Viktor,Shchyotkin,0,162,28/6/1992,Russia,Samarskaya Oblast,Samara
Sophia,Sigayeva,1,148,30/1/1963,Russia,Kurskaya Oblast,Zheleznogorsk
Vlada,Solodnikova,1,163,16/7/2004,Russia,Sverdlovskaya Oblast,Polevskoy
Luca,Tyomkin,0,173,16/5/1958,Russia,Sankt-Peterburg,Saint Petersburg
Aventin,Shaposhnikov,0,187,25/11/1969,Russia,Stavropolskiy Kray,Stavropol
Georgy,Yurlov,0,183,15/6/1951,Russia,Sankt-Peterburg,Saint Petersburg
Avrelian,Maysak,0,180,14/11/1974,Russia,Sankt-Peterburg,Saint Petersburg
Vera,Karchagina,1,173,28/7/1966,Russia,Tverskaya Oblast,Tver
Nadia,Cherkashina,1,162,10/7/1987,Russia,Sankt-Peterburg,Saint Petersburg
Maria,Malyugina,1,186,3/2/2009,Russia,Yaroslavskaya Oblast,Yaroslavl
Luiza,Kuklachyova,1,178,22/1/1994,Russia,Irkutskaya Oblast,Irkutsk
Agapy,Zhigunov,0,174,9/12/1984,Russia,Rostovskaya Oblast,Rostov-na-Donu
Avrelian,Zolin,0,188,10/6/2001,Russia,Ulyanovskaya Oblast,Dimitrovgrad
Agafangel,Kurganov,0,183,16/6/1977,Russia,Chelyabinskaya Oblast,Magnitogorsk
David,Kalugin,0,171,27/3/1970,Russia,Moskva,Moscow
Arina,Shishkanova,1,171,5/7/1996,Russia,Moskva,Moscow
Mila,Raspopova,1,151,14/4/1954,Russia,Sankt-Peterburg,Saint Petersburg
Tatiana,Chichkanova,1,163,29/2/1969,Russia,Khabarovskiy Kray,Khabarovsk
Albert,Bulygin,0,172,15/3/2001,Russia,Stavropolskiy Kray,Pyatigorsk
Abram,Kashnikov,0,176,20/7/1969,Russia,Krasnodarskiy Kray,Novyy Sochi
Abel,Ukhov,0,176,11/8/1981,Russia,Moskva,Moscow
Avdey,Chmykhov,0,154,4/5/1984,Russia,Ulyanovskaya Oblast,Ulyanovsk
Agavva,Kirilov,0,165,26/12/1982,Russia,Buryatiya,Ulan-Ude
Daniel,Chazov,0,173,22/6/1954,Russia,Vladimirskaya Oblast,Vladimir
Zenaida,Migunova,1,153,15/7/1953,Russia,Krasnoyarskiy Kray,Norilsk
Lina,Ravenova,1,171,11/2/1956,Russia,Sverdlovskaya Oblast,Yekaterinburg
Boris,Astankov,0,176,19/2/1997,Russia,Altayskiy Kray,Barnaul
Avian,Loskutov,0,172,16/12/1996,Russia,Bashkortostan,Ufa
Avdiyes,Tikhvinsky,0,184,30/9/1998,Russia,Sankt-Peterburg,Saint Petersburg
Yevgeny,Kurchin,0,178,28/10/2006,Russia,Orenburgskaya Oblast,Orsk
Ludmila,Tetereva,1,163,13/1/1968,Russia,Moskva,Moscow
Aventin,Nikiforov,0,177,5/4/1989,Russia,Chelyabinskaya Oblast,Magnitogorsk
Avenira,Astakhova,1,162,21/12/1995,Russia,Rostovskaya Oblast,Millerovo
Artemy,Nezhdanov,0,183,4/4/1974,Russia,Yevreyskaya Avtonomnaya Oblast,Birobidzhan
Agafangel,Shchedrin,0,182,26/6/1971,Russia,Krasnodarskiy Kray,Krasnodar
Nataliya,Sychyova,1,171,12/12/1976,Russia,Samarskaya Oblast,Syzran
Masha,Tarnovetskaya,1,154,22/3/1966,Russia,Moskva,Moscow
Boyan,Speransky,0,185,7/8/1952,Russia,Khabarovskiy Kray,Nikolayevsk-na-Amure
Nadia,Belevich,1,161,6/1/1988,Russia,Sankt-Peterburg,Saint Petersburg
Arkady,Domashyov,0,158,10/12/1950,Russia,Sankt-Peterburg,Saint Petersburg
Veniamin,Tikhonov,0,171,24/9/1992,Russia,Rostovskaya Oblast,Volgodonsk
Stanislav,Shcherbakov,0,166,2/9/1965,Russia,Khanty-Mansiyskiy Avtonomnyy Okrug-Yugra,Nizhnevartovsk
Ignat,Yudachyov,0,175,16/4/1996,Russia,Tomskaya Oblast,Tomsk
Abamon,Oborin,0,177,2/7/1975,Russia,Vladimirskaya Oblast,Vladimir
Avrelian,Nosov,0,173,11/4/1954,Russia,Kirovskaya Oblast,Kirovo-Chepetsk
Tamara,Vasina,1,173,27/2/1999,Russia,Chelyabinskaya Oblast,Chelyabinsk
Nika,Larionova,1,172,2/3/1989,Russia,Tomskaya Oblast,Tomsk
Milan,Bugakov,0,190,6/7/1971,Russia,Chelyabinskaya Oblast,Chelyabinsk
Goran,Lubashev,0,180,3/2/1956,Russia,Arkhangelskaya Oblast,Arkhangelsk
Agapa,Miloradova,1,164,14/1/1997,Russia,Nizhegorodskaya Oblast,Nizhniy Novgorod
Simeon,Yedemsky,0,183,20/7/1954,Russia,Yaroslavskaya Oblast,Yaroslavl
Aviafa,Zhzhyonova,1,158,3/8/1981,Russia,Moskva,Moscow
Yefim,Kasaty,0,161,12/2/2006,Russia,Sverdlovskaya Oblast,Yekaterinburg
Aurora,Bukina,1,146,7/7/1957,Russia,Krasnodarskiy Kray,Krasnodar
Afanasy,Yubkin,0,176,7/3/1997,Russia,Moskva,Moscow
Yury,Glinin,0,176,1/4/1968,Russia,Moskva,Moscow
Agav,Batishchev,0,184,18/4/1957,Russia,Kemerovskaya Oblast,Guryevsk
Agatha,Erdeli,1,154,21/9/1971,Russia,Lipetskaya Oblast,Lipetsk
